número,fecha_dictamen
61738-74224-AI,2008-02-23
80910-94208-HO,2018-08-06
55634-61661-MD,2018-12-07
38555-8780-LD,1998-04-28
89105-63287-BN,2000-04-05
80574-38137-OF,2006-03-30
81959-32339-NO,2013-02-13
25759-33762-BI,2018-10-18
78234-9518-IM,2017-04-26
2191-41408-BN,2019-03-28
23073-5391-OI,2015-06-16
52632-2518-LJ,1992-06-20
9638-41470-LI,1975-08-09
51473-80646-FK,2019-07-20
75936-21891-FL,2014-10-18
3455-32582-MJ,2019-03-28
17441-95538-MH,2019-06-23
64412-2993-JK,2001-08-03
43815-8479-AK,2011-08-22
32249-41712-KH,2018-10-26
3033-84726-GI,2005-09-24
72875-21356-EF,2009-08-09
29037-36902-OH,2019-08-30
17076-15811-BO,2018-02-01
8121-68941-DD,2019-07-24
46947-37812-BK,2019-03-07
44940-9957-KG,2018-11-03
36421-2998-IA,2014-10-14
4790-24346-IH,2018-09-03
97850-96110-IK,2019-03-20
529-9039-GE,2008-03-27
46261-9454-KA,2000-06-29
64830-50334-KA,2005-01-22
48195-13952-DK,2018-05-13
99132-77397-GL,2002-03-09
78627-97918-NB,2019-02-18
63792-51296-BN,1989-06-29
8493-75885-EK,2007-08-11
56201-23704-OE,2008-12-26
92542-97760-EM,1983-11-21
72077-98367-JG,2003-04-19
36342-80472-JK,2016-06-24
66081-49183-KJ,2016-11-29
44288-48825-EN,2019-02-07
32518-60973-GF,2018-03-15
60992-63722-HB,2016-01-12
88550-62897-BE,2018-01-26
90610-86960-IK,2001-01-17
74486-45314-JE,2018-05-02
927-20876-MO,2003-04-02
84432-60785-OJ,2012-11-07
91470-8840-DB,2019-08-19
97495-35084-EF,2016-02-01
44126-19069-BJ,1976-01-25
60181-69018-HH,1976-05-21
56133-51675-EG,2019-04-30
12349-68468-NE,2012-06-27
45408-80482-JJ,2018-12-23
64554-7702-EE,2016-06-30
87081-14744-EO,1998-02-06
79911-77502-GK,1989-11-09
93618-6904-AB,2019-07-14
72729-93566-IO,2001-01-19
65494-44698-AL,2001-08-12
23158-58428-KD,2019-04-29
25052-73131-LN,2008-12-15
42357-34340-JA,2017-12-12
63949-63463-AD,2005-05-06
32221-38037-JF,1982-09-17
44173-47973-LG,2006-05-18
42760-70005-ID,2019-03-10
68697-51125-FD,2017-10-19
69392-98027-FK,2013-11-11
37210-80829-BJ,2014-05-14
16113-16509-GA,2016-07-27
66091-20466-FH,2008-08-03
58889-55203-BK,2019-03-10
47004-560-NG,2010-06-10
97236-75442-JB,1998-07-25
44687-5474-NA,2018-08-07
71677-82561-EN,2014-06-18
81893-93687-AN,2014-11-08
40597-59622-II,2018-02-04
86247-37505-JD,2009-11-21
94017-16117-BL,2018-12-12
3025-86515-OH,2019-06-09
55265-57464-EI,2017-07-13
82626-29470-OD,2018-01-17
11507-91284-ME,2019-07-05
2608-50948-HB,1980-12-11
74425-78326-BG,2009-05-18
53765-91712-ID,2018-07-18
55188-56813-GM,2018-03-01
2531-38146-GA,2016-01-06
38479-91360-BK,2012-03-21
42899-55261-AI,2009-05-09
66490-4798-GJ,2016-05-21
34473-41563-II,2018-12-07
65344-31706-EJ,2018-01-15
87317-11849-BD,2002-08-12
74293-86502-II,2012-05-04
60537-75940-LM,1975-02-18
72292-70648-JD,2013-05-11
60671-25896-IL,1994-08-31
89792-45724-DG,2008-06-10
96631-51612-LN,2019-01-24
10204-17433-MK,2017-04-16
80469-64879-GB,2017-01-31
40334-20113-II,2011-06-14
78865-66952-BE,2011-01-25
36539-63294-EO,2000-06-07
98008-97217-MJ,2019-08-18
21403-76023-HN,2018-11-06
88574-86237-HH,2013-11-08
47343-69111-BG,1992-08-12
68835-72567-AO,2017-12-11
5229-49517-FB,2007-09-16
25952-48407-GN,2013-12-17
49849-42420-MH,2007-05-31
84674-64334-LB,2013-07-16
31867-88041-BG,2012-06-17
68407-33755-BB,1998-09-25
69141-92407-HA,2014-12-04
71913-60716-JG,2014-11-02
62833-16393-MF,2017-01-23
32705-97803-JH,2001-10-15
42699-47673-OI,2016-03-03
14273-23022-KO,2019-08-15
65968-85150-HI,2004-11-24
87781-49555-BF,2017-07-15
38897-46030-IK,2011-06-28
2407-62656-BL,2018-04-28
60087-95999-HN,2014-04-19
9502-67408-GO,2019-03-20
42595-19880-KB,2003-12-14
46221-88663-OL,2009-09-15
70127-32022-FB,2019-02-20
30913-15252-KF,2013-06-15
34801-76584-OF,2019-04-19
61189-51150-NL,2018-12-07
54812-13895-BG,2017-07-28
32754-8410-AL,2019-03-07
96578-41700-AO,2014-02-09
89902-77559-KM,2019-08-29
25323-35556-LI,2019-05-08
51559-61188-GN,2019-08-30
64708-58372-IA,1983-10-28
52332-10041-GO,2013-05-16
32596-42116-OO,2012-06-24
15766-48634-MH,2018-12-23
81297-16515-AB,2016-05-04
53163-44960-KJ,1985-10-10
47987-74207-HO,2008-05-07
25618-67903-HB,2015-01-24
172-50915-NM,2017-03-04
2610-53398-HI,2019-08-16
3890-35419-ID,1985-04-19
1996-8110-HE,1996-06-30
24707-70399-HM,2011-08-11
20075-43643-BF,2013-03-29
99688-2750-EE,2010-01-28
93345-98042-LL,2019-03-27
22925-72176-FE,2019-05-08
97056-31716-HF,1995-05-12
1641-43528-MA,2019-08-27
66184-31922-FD,2005-06-14
41420-30193-OE,2010-09-30
64137-59773-DE,1989-08-15
30213-38379-HJ,1989-08-18
1137-95897-GM,2016-06-24
66825-71796-OJ,2017-11-20
58594-53004-OJ,2011-09-27
60250-12097-HN,2019-06-19
88157-62869-ND,2005-04-10
36788-87178-IE,2010-09-07
76577-92594-DB,2018-09-26
3098-3454-ML,2019-06-25
20761-37159-FM,2018-04-12
90985-26435-EN,2004-06-17
76960-65067-NB,2007-05-04
97289-50153-HH,2018-08-12
81842-34129-NH,2014-11-12
17263-38113-AM,2016-10-27
13023-62707-IO,2018-06-29
80614-97481-AO,1998-04-14
74800-92467-GB,2016-12-20
87962-13739-KI,1973-09-18
92443-67883-GB,2004-03-13
82191-85337-GB,2017-01-17
36320-80982-FD,2014-06-29
18195-86403-OA,2018-06-16
61039-1015-LB,2019-01-08
67493-22248-GA,2018-09-24
88731-71310-BO,2003-11-01
18475-85967-EE,2014-11-08
13699-97414-IB,2013-06-20
56703-53933-KB,2018-03-30
41001-49089-KM,2016-02-27
67178-63918-IG,2017-12-11
68214-97741-MG,1993-10-20
34893-72576-KI,1983-11-19
69361-4020-EB,2001-01-13
37077-67522-AD,2019-08-10
82855-54903-KE,1990-02-24
30543-32623-EN,1979-08-19
40595-82933-GM,2004-03-21
60695-32547-BA,2016-11-16
7651-43986-FI,2002-10-05
12755-77329-MJ,2008-09-01
44271-84474-HJ,2012-02-16
83495-46977-MM,2004-04-19
51185-65192-HK,2009-12-17
93620-64265-JB,2014-11-14
933-49384-BJ,1994-01-21
25701-81488-IH,2019-07-04
17702-1022-OJ,2018-01-02
58763-81282-KH,2019-07-19
29585-96541-DM,2014-04-24
40481-1463-IN,2016-02-23
97749-31057-GO,2010-12-06
62175-56519-AL,2009-04-28
95748-33315-BG,2000-11-15
45365-72572-KB,2016-05-01
79122-92541-BN,2014-12-20
30671-91210-HK,2014-06-06
78629-92203-EN,2010-03-05
62149-16670-EB,2018-03-13
1252-67582-DB,1993-12-15
85729-78911-LO,2019-07-25
34919-32467-BG,2011-06-21
86334-88112-OO,2019-06-09
83228-60304-EB,2009-05-20
67185-39441-EG,2016-08-10
14932-80897-AE,2014-07-07
7336-95211-AI,2008-09-04
84924-97327-GK,2011-02-16
49563-11416-AB,2019-06-01
45677-95272-EM,2012-11-06
97432-37251-AE,2016-02-26
78541-89738-MB,2015-07-23
53704-47467-GF,1997-05-29
41938-84801-HK,2008-11-09
20297-39807-LN,2014-09-09
49404-41358-IB,2004-05-12
71752-65825-II,1986-11-06
34728-45723-LH,2009-12-01
63689-26588-FB,2002-08-06
50921-63127-JB,2012-07-01
62969-97723-ON,2019-03-17
47275-6996-BK,2018-05-23
7695-25267-OK,2019-08-21
39708-55565-HG,2002-03-20
30503-90228-JE,2008-04-01
6584-90741-AE,2019-08-19
57012-43209-NB,2019-07-18
18007-82346-BI,1979-07-26
34634-55616-AI,2013-02-09
31438-1688-FD,2019-06-03
3635-65425-DM,2016-03-28
45307-39562-BK,2010-09-14
42602-70399-EK,2002-06-01
46492-61668-NI,2019-08-12
86552-82329-FI,2012-02-12
13476-76787-HB,2004-07-20
41780-89741-IB,2016-04-09
48706-28204-JF,2011-07-23
73948-36552-JN,1999-04-09
26072-44621-BG,2017-03-16
1415-72173-MD,1992-07-10
29542-39970-MB,2018-05-07
2008-46797-NA,2018-06-26
80105-54130-KG,2014-04-14
93580-75265-HO,2019-04-22
44009-10337-NJ,2009-06-18
3481-95356-DH,1994-09-06
98784-30975-DE,2016-12-07
99721-73624-FN,1992-10-14
83598-4576-AB,2019-08-20
19859-66225-JM,1997-09-06
58500-14144-ML,2001-03-09
80580-11207-GM,1977-12-29
35457-59102-HF,2019-02-20
30006-20685-IB,2013-08-31
74118-43019-OL,2017-05-07
68970-45226-DE,2019-08-07
95356-29177-BB,2012-05-09
75014-8430-EG,2016-06-24
99115-60618-OO,2019-06-30
23495-17916-DN,2019-07-07
95102-72493-IB,2013-12-02
30779-8693-IM,2013-03-01
70580-23151-FB,2012-04-01
66664-16894-EL,2004-02-08
75658-31938-BF,2009-02-09
53212-32133-BE,1999-03-04
70379-80857-HB,1996-11-13
81058-29131-DH,2010-02-10
58710-14534-OB,2012-10-27
51617-46069-LA,2012-03-02
63785-85846-DK,2010-02-08
7336-68313-IB,2015-06-27
37521-78694-II,2009-12-07
40292-98788-HL,2018-02-18
18280-82654-NI,2014-07-28
29677-91086-LB,2013-06-29
40620-60911-HD,2001-10-12
80762-87672-DB,2019-06-21
49835-60513-FB,1999-06-01
24150-6011-NE,2015-06-08
18944-38419-KB,1977-12-21
6185-97975-BO,2011-03-10
61162-88240-IJ,2018-03-10
29562-18645-AG,2009-07-21
96306-51235-ME,2007-10-24
97460-71224-OL,2010-08-30
45042-70191-AO,2017-11-11
30663-75539-HJ,2019-02-11
72455-41618-NB,2018-10-19
16080-21244-OB,2003-04-01
55616-1241-FG,2019-08-29
19249-80669-KM,2019-06-26
54114-58328-ML,2017-11-23
84586-85987-BK,2014-12-09
16935-51651-KN,2018-07-20
40952-66422-NB,2011-06-03
16121-48660-KK,2011-07-11
83419-85001-EB,2010-07-14
12889-18671-AA,2006-09-21
30063-35717-LN,2012-10-27
71004-78616-MI,2015-01-03
65289-57189-KG,2019-04-15
65338-76457-NB,2018-09-10
71517-15998-FL,2016-09-25
42759-81831-KO,2018-07-07
68062-15914-GB,1998-12-08
62452-29033-MG,2010-10-05
85744-75044-MK,2018-11-05
92782-23774-BN,1999-03-26
17044-73212-BE,2019-01-17
2021-79837-GM,2016-02-11
29010-75271-LH,2012-09-30
18541-32869-NI,2019-07-11
14841-46538-BI,2011-02-22
17039-65690-OJ,1987-09-08
87968-20103-HB,2016-10-09
51905-84094-GH,2019-03-25
23942-98900-IJ,2019-04-29
82390-97194-KB,2017-01-22
86374-65700-IG,1974-11-22
96829-23578-HF,2018-05-07
78868-61643-BK,2017-05-30
32979-93110-AH,1988-07-28
29166-73359-AK,2011-11-21
53171-8913-KB,2019-08-08
73636-57176-BG,2010-03-21
66148-97735-BH,2015-10-02
68268-21474-ON,2014-06-24
99487-67028-KD,2015-04-19
2707-76455-AF,2019-08-19
26461-12566-GB,2015-09-30
67416-86462-AA,1999-11-07
96651-83287-MI,2019-08-07
15829-43179-LH,2007-12-31
94565-46643-GL,2000-01-01
53175-98685-GO,2018-06-05
11077-21617-OB,1992-05-06
88423-78292-LM,1988-03-07
89947-79108-FI,1998-05-17
41765-56374-HI,2004-07-31
66959-97458-LD,2019-08-18
33695-53263-GJ,2014-12-10
34558-91304-MM,2017-12-12
27218-18966-KM,2019-08-28
96793-82663-MD,2008-04-13
37903-98911-NA,2005-03-14
25810-2036-OM,2007-02-16
71780-48966-NB,2016-06-13
27804-9859-BF,2008-12-20
74356-22900-DO,2016-07-23
79868-59015-KB,1991-05-09
66246-15756-HD,2017-12-01
38048-42118-LH,2019-08-04
38836-59813-FH,2013-04-13
73017-88638-IA,2015-03-26
57052-51862-IL,2016-09-26
9051-51887-DE,2017-11-14
2480-69498-NL,2008-07-11
6419-23091-KF,2010-01-18
62613-60408-JO,2012-07-18
33136-13574-EN,2017-09-19
35962-30848-GB,2018-05-18
86407-34763-GO,2017-07-13
92870-92836-HO,1998-06-21
82579-60460-EF,2019-08-30
47340-20128-BN,2007-04-27
29816-65608-AN,2019-06-28
37057-62977-BF,2010-05-04
62542-30681-GB,1989-05-11
99930-80000-HG,2019-02-23
98127-86554-BB,2005-09-25
97127-23527-IG,2017-11-25
59231-83966-AN,2017-07-06
31070-13522-BA,2019-07-17
79452-90620-HA,2019-06-01
23484-82113-OH,2019-06-10
11672-35302-FM,2018-06-25
10213-59421-MB,2019-03-25
23667-80506-HM,2019-04-25
8397-21652-DM,2017-12-06
41429-30716-HK,2003-02-16
30919-74511-GF,2009-03-20
72523-73693-OF,2001-05-08
77673-46717-KH,1990-09-18
98405-39125-KJ,1998-04-26
86862-63394-IN,2015-07-13
65307-77245-FJ,2018-08-16
44973-34424-JH,2002-02-09
24297-87726-MJ,1983-08-02
51101-94091-LB,2010-11-05
35698-65683-BM,2003-09-19
23882-29751-NK,1990-12-16
12376-93223-LB,2012-10-22
78739-79391-OH,1992-07-21
43180-48568-AO,2003-06-27
71546-67386-MB,2005-08-27
90474-4864-FB,2012-02-10
91806-27505-BF,2007-06-05
55235-29003-BJ,2017-07-24
45186-80274-HN,2019-04-17
29175-46556-OB,2015-01-16
60506-85882-HG,2016-12-01
17153-2959-BA,2019-08-25
83215-82778-BO,2019-06-14
38089-58113-HJ,2019-07-11
4053-88947-IM,2016-02-13
7046-88639-EG,2018-04-21
47259-56356-NH,1978-06-13
18824-38857-LJ,2010-07-20
38412-21647-ED,2006-03-16
19746-89675-HD,2019-08-10
39097-94313-KB,2019-03-24
70726-18239-AJ,1978-06-01
31320-860-MJ,2017-08-14
48569-13929-JJ,2017-11-23
14731-54941-HE,2002-12-06
12654-366-LG,2019-03-26
96408-53821-BL,2018-08-26
74227-49470-LO,2015-05-03
27149-65258-OF,2001-02-27
82927-23447-GO,2011-02-02
64080-65482-LF,1998-09-25
50117-41497-ED,1975-02-01
2798-69946-OH,1977-08-22
27606-83980-BF,2017-05-08
83981-19087-ED,2001-01-10
40795-13923-LG,1993-07-31
27176-84818-HH,2017-11-28
65330-13299-LG,2009-08-12
37964-54542-KM,1993-01-10
28271-35987-OG,2009-04-13
96751-8013-KN,2012-05-13
6061-91883-MN,2018-05-07
5856-86390-JJ,2013-07-15
49800-22829-BO,2007-02-28
54501-43016-FI,2017-06-12
93848-88609-KD,2009-07-16
41871-56442-DG,2004-05-05
17618-23491-GJ,1987-12-14
35054-3998-EO,2015-06-10
16204-56735-IO,2016-07-18
80660-88959-NG,2010-05-04
15110-36830-AB,2019-04-19
8247-20444-IH,2012-10-30
89439-44807-MN,1987-03-18
34182-94013-LF,2014-04-04
90714-43576-KM,2016-10-27
76758-17260-EK,2015-05-11
57224-28089-KO,2018-11-30
70584-36292-IE,2015-09-14
34776-68968-KB,2011-08-23
11322-20882-LE,2017-07-29
24822-77874-MN,2017-06-29
99458-61551-OO,2008-06-18
93735-89676-FD,2015-08-27
34101-41301-BN,2014-03-09
11687-54150-ON,2010-05-07
72750-60321-GN,2009-11-11
5644-3968-KH,2011-02-05
37793-48009-FO,2017-01-21
3489-47126-MH,2012-03-16
37315-12420-DG,1977-06-20
62848-4671-AN,2016-03-31
36590-50389-JJ,2015-03-12
66502-11489-LI,2018-08-18
98767-66938-NI,2015-01-02
53028-54336-HN,1997-07-01
96614-47819-IH,2010-08-05
14312-89128-JB,2019-01-12
67699-6810-BB,2019-01-11
15275-10610-IA,2019-06-24
5361-15115-HB,2017-07-28
744-68461-OG,2018-10-06
30913-46545-JA,2015-02-25
2737-31045-BH,2016-12-01
1303-10420-KN,2018-10-26
67715-88970-MM,2016-06-30
69649-38279-GH,2013-06-01
6244-69019-FO,2008-12-29
34230-18963-BE,2016-12-07
65705-47154-IM,1996-04-29
65905-37805-KD,1989-06-02
48889-89164-DA,2008-03-01
43442-13052-AD,2018-07-15
62149-36463-HL,2002-10-06
37613-90181-JH,2017-08-06
46905-70012-OB,2018-03-11
62650-11846-GK,1990-01-03
95139-68791-MG,2019-02-21
12566-62292-HI,2014-03-05
6347-61112-HL,2013-11-12
62659-21953-MF,2016-08-24
69386-53077-LN,1992-09-27
2662-40598-JJ,2019-08-07
30145-45375-EK,2019-07-01
87836-74275-LG,1982-11-26
33379-63988-FE,2019-01-22
21692-38752-KF,1979-11-14
35693-13224-HB,2003-08-26
90335-54295-BL,1994-07-06
76427-17469-BI,2019-06-14
3450-91901-OM,2018-10-22
3937-53848-MN,2013-04-30
75113-90274-EB,2018-03-23
44629-73955-BL,2004-04-18
67803-17464-HG,2016-09-01
95504-84379-AE,2018-02-04
48616-21193-EM,2014-02-15
8776-71825-NF,1989-10-25
90723-95513-KE,2018-03-12
84064-33370-BO,1985-02-15
19190-46402-GF,2017-10-28
63094-41224-ND,2001-08-05
97874-40328-KL,2008-01-01
39377-58560-BD,1997-11-11
82927-63315-OL,2015-03-31
3232-214-KK,2017-03-09
86350-92865-DE,2011-10-27
95132-19889-JF,2011-04-27
67143-64318-BF,2017-10-17
53832-74206-EO,2019-08-03
22659-66922-IB,2011-03-12
91568-69679-FJ,1982-12-28
42922-3566-EM,2019-07-07
67794-12861-HH,2018-02-16
83298-77495-IE,2001-07-10
79919-13484-BB,2015-07-29
67270-82099-GA,2014-05-03
99942-29177-BF,2014-08-11
59536-34403-MD,2010-06-12
94661-81826-GK,2016-09-14
35346-68590-NB,2019-05-29
92568-71246-AL,2015-10-07
63887-88259-ID,2004-11-18
85801-25093-FB,2008-04-30
60436-26257-JM,2012-10-03
65475-1888-LG,2009-05-03
11118-56712-FL,2019-01-12
62558-84203-JB,2013-11-20
66282-40198-DG,2019-06-18
41105-18301-EN,2019-04-03
62506-13597-LH,2016-02-02
25266-61585-FD,2014-03-29
37079-61441-DE,2017-06-25
73467-43298-BF,2009-07-02
40193-53013-NI,2019-08-06
74424-98529-BD,1980-10-26
20270-26208-BB,2017-12-29
39400-23589-KL,2014-07-13
50813-98329-AG,2017-02-20
98221-1285-KF,2017-12-30
91312-54584-HB,2016-08-05
81153-24802-MH,2019-06-26
38491-40990-EA,2019-06-13
27076-29388-JG,2008-06-27
28-26579-HJ,1967-02-16
11706-33108-II,2019-08-27
58965-80037-MJ,2000-05-05
66818-97848-NM,2016-04-01
63938-47583-GB,2016-04-30
76205-16823-KM,2018-01-25
81455-12814-ED,2008-10-10
60248-18611-BN,2018-01-09
68382-97457-FB,2016-03-18
48546-54092-HM,2019-07-06
77699-58241-LH,2009-09-05
99246-98248-DO,2017-11-06
75472-84076-JE,2008-11-15
52478-67887-FB,2017-10-30
41887-35350-JI,2019-06-15
15-31370-GO,2015-10-10
29452-7132-LM,2010-08-06
55504-24203-DO,2012-06-17
99068-68621-JE,2019-05-25
64145-15664-DD,2017-04-29
53827-30371-NE,2001-02-21
88935-58684-EJ,2018-07-27
58194-46086-FJ,2019-06-09
71558-57446-KM,2010-07-07
42013-6940-MK,2000-04-06
25550-46489-DG,2019-04-28
18395-19200-JM,2009-10-27
13336-34-BN,2008-01-06
52136-48967-IK,1996-12-25
79546-73438-FM,1972-02-06
31186-88233-OF,1999-06-25
83050-97875-FB,2001-05-05
42179-8778-AJ,2018-03-21
13314-78343-BE,2018-06-29
40896-8273-GG,2015-06-24
56601-8602-HN,2008-03-18
59416-83500-BK,2001-02-17
50492-54416-BA,2018-07-13
84873-40415-EB,2010-04-23
77539-83826-BD,2018-12-31
98432-32552-OE,1994-03-12
69290-47587-LN,2019-08-23
98520-28626-MB,2019-01-17
68017-42847-KG,2018-03-19
42355-7960-FO,2018-09-29
78938-62273-NM,2013-11-26
33005-55681-LE,2008-12-17
38000-12733-EB,1988-08-13
33474-21207-BD,2011-04-30
2737-53868-HE,2005-04-28
89881-3137-GB,2013-10-07
44096-81089-OO,2006-07-25
80140-17023-OD,1976-10-25
12028-89880-HG,2018-08-14
68022-96985-BE,2006-10-31
53778-21100-GG,1988-05-11
59809-72217-LG,2018-03-09
63776-68070-MF,2005-04-11
6793-56039-FK,2015-01-10
76828-27937-JH,2015-07-07
73296-57296-ID,2002-02-21
47350-23034-NN,2017-06-06
98891-8825-BG,2016-07-20
511-46362-AO,2018-10-30
61341-44252-DB,2019-05-09
67498-34325-MN,2018-10-06
23321-23097-EG,2018-10-27
56729-222-BN,2006-02-18
81228-13158-DL,2012-11-05
80056-3829-KN,2019-06-10
95946-96115-BM,2018-02-19
99071-76409-GM,2016-07-17
30422-14510-BG,2016-03-14
87482-42042-MK,2012-09-24
33805-55523-JA,2014-03-27
72629-35093-NA,2015-03-01
17697-54327-EK,2018-11-26
73056-60556-EK,2019-01-12
69835-9898-GH,2014-06-29
36654-63309-JG,1984-05-31
40425-86286-GH,2019-07-21
39104-9413-IK,2002-11-19
42052-67978-MD,2018-02-19
90444-53480-KA,2016-12-28
95610-83467-MA,2015-10-24
85327-54228-EO,2019-06-06
44802-21946-KH,2012-02-22
30492-55897-AF,2016-10-09
82673-49280-NL,2012-12-23
50135-64034-GK,2018-07-27
72685-5351-HN,2012-08-17
43298-61090-ED,1981-11-14
88777-31137-AL,2016-09-21
63195-73294-AF,2019-06-13
44145-26994-IB,2018-01-25
42658-96282-FA,2013-11-19
58434-6980-OJ,2015-09-29
71737-42354-BB,2017-08-23
71533-43258-HH,2008-02-22
93093-68203-HO,2017-06-27
69365-39618-OJ,2003-06-10
69713-73742-HH,2012-02-28
27523-8269-MN,2015-02-08
81144-85308-MK,2011-12-23
46760-42116-MA,2011-06-27
25127-88672-OJ,2017-02-02
62100-51756-LG,2016-05-25
93132-10414-FL,2018-05-25
89713-91878-OF,2006-02-02
70206-88266-GB,2016-07-18
5621-38315-KL,2015-07-16
93164-89496-HB,2018-06-14
30436-45898-AN,2009-04-29
2144-32728-KN,2012-03-31
35572-83781-NE,2013-04-11
13491-43500-BB,2014-10-24
5276-30317-BB,2013-08-14
10508-48781-KA,2015-06-25
65353-67075-LK,2017-12-29
97332-34388-MH,2019-03-23
97947-89355-LA,2017-06-04
52486-17232-HH,2015-11-16
75509-3002-MN,2015-08-03
88378-65548-AA,2016-10-24
70175-53861-JH,2014-07-01
55002-72424-NA,2019-04-14
5682-21608-ED,2016-11-20
42942-47119-BL,2014-09-01
52886-98948-GN,2007-03-29
94589-41449-DJ,2012-09-01
53089-64209-LK,2003-01-31
21126-15568-DM,2016-11-12
4883-71380-HL,2018-07-14
8533-31989-HK,2018-07-24
71409-24303-BL,2016-05-12
97388-25377-IJ,1996-01-03
77639-55202-HB,2016-01-10
13183-55330-IB,2013-05-07
22515-5738-MG,2018-02-22
28578-64662-ML,1992-10-07
73694-71508-LI,2015-06-25
32116-73188-BJ,2018-03-11
58859-30331-OO,2015-03-31
61990-22444-BD,2016-11-20
80053-58846-BO,2019-05-24
78391-72839-BM,1989-04-08
10092-18145-FD,2008-03-07
61351-66903-JN,2016-06-19
95410-89875-AH,2015-05-29
43923-98481-DE,2019-01-26
6500-18844-FA,2018-01-23
4051-25627-LJ,2016-12-01
68630-54769-DB,1980-12-30
14598-82714-OB,2012-07-18
32331-68428-KB,2016-01-03
73552-68822-JA,2006-07-02
93148-69817-GB,1991-07-29
64086-59982-BN,2016-09-02
76479-36125-LD,2019-06-06
69409-90260-NB,1997-10-29
72202-18816-EG,2018-07-22
56371-59278-MN,2018-04-11
98450-70309-IA,1997-09-26
46385-58847-LA,2012-01-21
64750-34943-HH,2014-09-16
65788-98856-JM,2007-08-12
35388-96640-MA,2017-10-26
84016-58685-HA,2011-01-31
26216-71990-LF,2019-07-02
60844-2949-JG,1998-11-22
93913-88077-KM,2019-05-24
48178-29815-DL,2010-01-05
16097-61842-BL,2016-05-06
8198-45019-KD,2017-01-29
13999-52056-BN,2010-08-12
84311-73453-BE,1992-03-19
2718-50362-MJ,2019-01-13
6451-56883-MB,2019-08-30
10334-21822-EB,2007-01-06
78078-51782-OL,2009-01-17
83259-60832-JB,2012-10-18
79560-15892-NA,2016-09-30
15965-45585-LK,2002-09-29
9015-95746-BD,2009-06-28
17542-45921-GO,2001-04-18
18240-3671-BD,2018-09-28
85873-79408-DN,2019-08-14
41062-97916-NB,2019-03-02
82381-65495-FK,2017-04-22
36825-37502-DH,2019-08-22
39457-74021-OA,2018-04-11
6678-47140-GB,2003-07-22
44148-38283-KF,2015-12-04
29671-43301-AF,2008-01-10
59647-96706-BL,2019-03-13
19505-32565-ML,1996-05-12
63265-31436-JL,2013-08-11
52595-93057-HB,2013-04-06
53007-26848-DL,1982-08-17
42567-60182-MI,2003-09-08
15003-77522-IN,2014-07-24
46556-11397-ND,2003-07-02
57247-37965-AM,2017-04-24
56928-80332-MB,2018-01-13
75203-66922-FA,2019-06-21
41387-76287-JG,2019-05-07
67907-58352-IM,2015-01-18
50998-65406-BM,2014-04-25
51942-64832-JJ,2005-05-02
62418-45295-NI,2016-10-30
49316-60796-FD,2000-10-13
74988-50561-BD,2014-10-17
18738-779-OM,1989-10-06
92337-85167-AK,2016-01-12
65246-65589-JG,2016-11-19
2893-44257-IB,2014-05-20
22530-12100-IL,2018-03-14
67277-72120-AK,2019-08-25
51174-44007-IM,2017-05-27
91362-38856-KI,2006-07-04
38725-84308-OM,2017-12-18
22660-15353-DD,2012-01-26
69903-74218-IJ,2002-03-18
33932-94671-DM,2018-05-27
84737-88661-NG,2019-05-01
26992-60768-FB,2019-08-12
14470-6380-HB,2018-08-24
393-56837-GB,1997-08-25
45859-12264-MH,2018-12-29
46156-93325-EG,2009-08-22
25002-31529-OJ,2019-05-06
79516-60029-AA,2019-04-27
91926-90131-DD,2004-11-11
8383-31835-LK,2009-03-16
97024-82228-AE,2014-04-14
64081-44785-MH,1998-03-06
60514-47211-LE,2013-10-25
13896-58617-FJ,1994-11-21
95424-67420-FE,2011-08-22
77841-87646-JI,2008-03-24
9728-88121-BB,1999-11-04
20848-81026-FA,2012-09-07
95171-43597-BM,2012-02-23
89264-37359-GB,2019-01-19
10977-12423-OL,2016-05-16
64052-73340-OO,2014-11-08
81377-14509-GO,2003-09-26
45141-93435-JM,2010-06-20
26031-71747-KF,2015-10-04
78697-52029-JG,2017-08-20
2648-68360-LF,1972-07-24
24480-66670-BI,2016-10-21
63453-30794-FA,1998-08-28
51024-28602-MD,1978-10-08
87641-46994-HE,1995-05-11
12476-94850-FB,2003-09-18
19532-68280-DD,2008-06-13
75915-92254-BN,2019-07-15
40014-15645-AF,2018-06-30
43048-41583-BA,2012-06-29
7798-34040-IN,2015-04-12
12697-97377-JN,2017-02-14
47456-2295-LM,2014-11-27
19741-7777-BG,1992-06-04
2949-7695-IL,2019-04-25
85801-39029-GO,2018-05-11
2433-27560-HD,2019-05-02
82787-43382-HO,2013-11-06
34579-91088-LN,2018-10-18
92093-97156-JG,1973-06-24
49506-87263-ON,1995-12-12
68132-29005-FB,2010-10-10
35160-49213-DB,2009-07-02
61911-16469-EL,2019-03-28
98348-24447-OA,1991-12-31
43478-57062-EI,2001-09-17
84887-11796-IO,1982-11-23
41185-71427-MI,2002-05-31
15214-13460-IN,2018-05-29
98796-56817-DB,2014-12-11
35869-96395-HK,2012-09-05
10693-55786-OG,2017-03-09
45333-18813-GB,1989-07-27
58231-65775-KG,1988-09-19
73598-30691-JN,2008-02-05
66417-49388-IJ,2019-06-05
90489-11467-EJ,2003-02-13
76976-85883-GB,2019-02-16
